in s,C1 in V
-3.2159000E-04,-2.00724E+00
-3.2157600E-04,-2.00724E+00
-3.2156200E-04,-1.99923E+00
-3.2154800E-04,-1.99923E+00
-3.2153400E-04,-2.00724E+00
-3.2152000E-04,-1.99923E+00
-3.2150600E-04,-2.02325E+00
-3.2149200E-04,-1.99923E+00
-3.2147800E-04,-2.02325E+00
-3.2146400E-04,-2.00724E+00
-3.2145000E-04,-1.99923E+00
-3.2143600E-04,-2.02325E+00
-3.2142200E-04,-2.00724E+00
-3.2140800E-04,-1.99122E+00
-3.2139400E-04,-2.00724E+00
-3.2138000E-04,-2.01525E+00
-3.2136600E-04,-1.99923E+00
-3.2135200E-04,-1.99122E+00
-3.2133800E-04,-2.00724E+00
-3.2132400E-04,-2.00724E+00
-3.2131000E-04,-1.99122E+00
-3.2129600E-04,-1.99923E+00
-3.2128200E-04,-2.00724E+00
-3.2126800E-04,-1.99923E+00
-3.2125400E-04,-2.01525E+00
-3.2124000E-04,-2.01525E+00
-3.2122600E-04,-2.00724E+00
-3.2121200E-04,-2.00724E+00
-3.2119800E-04,-2.03126E+00
-3.2118400E-04,-2.01525E+00
-3.2117000E-04,-2.03126E+00
-3.2115600E-04,-2.01525E+00
-3.2114200E-04,-2.02325E+00
-3.2112800E-04,-2.02325E+00
-3.2111400E-04,-2.00724E+00
-3.2110000E-04,-2.02325E+00
-3.2108600E-04,-2.00724E+00
-3.2107200E-04,-1.99923E+00
-3.2105800E-04,-2.02325E+00
-3.2104400E-04,-2.00724E+00
-3.2103000E-04,-1.99923E+00
-3.2101600E-04,-2.00724E+00
-3.2100200E-04,-1.98321E+00
-3.2098800E-04,-1.99923E+00
-3.2097400E-04,-1.99122E+00
-3.2096000E-04,-1.99122E+00
-3.2094600E-04,-2.00724E+00
-3.2093200E-04,-2.02325E+00
-3.2091800E-04,-2.03126E+00
-3.2090400E-04,-2.00724E+00
-3.2089000E-04,-1.99122E+00
-3.2087600E-04,-2.00724E+00
-3.2086200E-04,-2.03126E+00
-3.2084800E-04,-1.99923E+00
-3.2083400E-04,-2.00724E+00
-3.2082000E-04,-2.01525E+00
-3.2080600E-04,-2.00724E+00
-3.2079200E-04,-2.00724E+00
-3.2077800E-04,-1.99122E+00
-3.2076400E-04,-2.00724E+00
-3.2075000E-04,-2.00724E+00
-3.2073600E-04,-1.99923E+00
-3.2072200E-04,-2.02325E+00
-3.2070800E-04,-2.00724E+00
-3.2069400E-04,-1.99923E+00
-3.2068000E-04,-2.00724E+00
-3.2066600E-04,-1.98321E+00
-3.2065200E-04,-2.00724E+00
-3.2063800E-04,-2.01525E+00
-3.2062400E-04,-1.99923E+00
-3.2061000E-04,-2.01525E+00
-3.2059600E-04,-2.02325E+00
-3.2058200E-04,-1.99122E+00
-3.2056800E-04,-2.00724E+00
-3.2055400E-04,-2.02325E+00
-3.2054000E-04,-1.99122E+00
-3.2052600E-04,-2.00724E+00
-3.2051200E-04,-2.02325E+00
-3.2049800E-04,-1.99122E+00
-3.2048400E-04,-2.00724E+00
-3.2047000E-04,-2.04728E+00
-3.2045600E-04,-2.00724E+00
-3.2044200E-04,-2.01525E+00
-3.2042800E-04,-1.99923E+00
-3.2041400E-04,-1.98321E+00
-3.2040000E-04,-1.99122E+00
-3.2038600E-04,-2.02325E+00
-3.2037200E-04,-1.99923E+00
-3.2035800E-04,-2.00724E+00
-3.2034400E-04,-1.99923E+00
-3.2033000E-04,-1.99923E+00
-3.2031600E-04,-1.99923E+00
-3.2030200E-04,-2.02325E+00
-3.2028800E-04,-1.99923E+00
