in s,C1 in V
-2.94072E-05,2.64033E+00
-2.94060E-05,2.64521E+00
-2.94048E-05,2.62568E+00
-2.94036E-05,2.64521E+00
-2.94024E-05,2.64033E+00
-2.94012E-05,2.63545E+00
-2.94000E-05,2.63057E+00
-2.93988E-05,2.64033E+00
-2.93976E-05,2.63057E+00
-2.93964E-05,2.64033E+00
-2.93952E-05,2.64033E+00
-2.93940E-05,2.64033E+00
-2.93928E-05,2.63545E+00
-2.93916E-05,2.63545E+00
-2.93904E-05,2.63545E+00
-2.93892E-05,2.63057E+00
-2.93880E-05,2.63057E+00
-2.93868E-05,2.62080E+00
-2.93856E-05,2.63057E+00
-2.93844E-05,2.64033E+00
-2.93832E-05,2.63057E+00
-2.93820E-05,2.62568E+00
-2.93808E-05,2.63057E+00
-2.93796E-05,2.64033E+00
-2.93784E-05,2.62080E+00
-2.93772E-05,2.64033E+00
-2.93760E-05,2.65010E+00
-2.93748E-05,2.63545E+00
-2.93736E-05,2.62568E+00
-2.93724E-05,2.64521E+00
-2.93712E-05,2.62568E+00
-2.93700E-05,2.64033E+00
-2.93688E-05,2.63057E+00
-2.93676E-05,2.63057E+00
-2.93664E-05,2.62568E+00
-2.93652E-05,2.64521E+00
-2.93640E-05,2.63545E+00
-2.93628E-05,2.64033E+00
-2.93616E-05,2.64033E+00
-2.93604E-05,2.64033E+00
-2.93592E-05,2.62568E+00
-2.93580E-05,2.63545E+00
-2.93568E-05,2.64033E+00
-2.93556E-05,2.63545E+00
-2.93544E-05,2.62568E+00
-2.93532E-05,2.64521E+00
-2.93520E-05,2.62568E+00
-2.93508E-05,2.63057E+00
-2.93496E-05,2.63545E+00
-2.93484E-05,2.63545E+00
-2.93472E-05,2.65010E+00
-2.93460E-05,2.63545E+00
-2.93448E-05,2.63057E+00
-2.93436E-05,2.64521E+00
-2.93424E-05,2.65498E+00
-2.93412E-05,2.63057E+00
-2.93400E-05,2.63545E+00
-2.93388E-05,2.63057E+00
-2.93376E-05,2.64033E+00
-2.93364E-05,2.64033E+00
-2.93352E-05,2.64033E+00
-2.93340E-05,2.64033E+00
-2.93328E-05,2.63545E+00
-2.93316E-05,2.64521E+00
-2.93304E-05,2.63057E+00
-2.93292E-05,2.64521E+00
-2.93280E-05,2.65010E+00
-2.93268E-05,2.64521E+00
-2.93256E-05,2.63545E+00
-2.93244E-05,2.64521E+00
-2.93232E-05,2.63057E+00
-2.93220E-05,2.64033E+00
-2.93208E-05,2.64521E+00
-2.93196E-05,2.65010E+00
-2.93184E-05,2.64521E+00
