Displacement,Force
32.40000153,-0.899999976
32.29999924,-0.899999976
32.20000076,-1
32.09999847,-1
32,-1
31.89999962,-1
31.79999924,-1
31.70000076,-1
31.5,-1
31.39999962,-1
31.20000076,-1
31.10000038,-1
31,-1
30.89999962,-1
30.79999924,-1
30.70000076,-1
30.60000038,-1
30.5,-1
30.39999962,-1
30.29999924,-1
30.20000076,-1
30.10000038,-1
30,-1
29.89999962,-1
29.70000076,-1.100000024
29.60000038,-1.200000048
29.39999962,-1.200000048
29.29999924,-1.200000048
29.20000076,-1.200000048
29.10000038,-1.299999952
29,-1.299999952
28.89999962,-1.299999952
28.79999924,-1.299999952
28.70000076,-1.299999952
28.60000038,-1.299999952
28.5,-1.399999976
28.39999962,-1.399999976
28.29999924,-1.399999976
28.20000076,-1.399999976
28.10000038,-1.399999976
28,-1.399999976
27.79999924,-1.399999976
27.70000076,-1.399999976
27.60000038,-1.399999976
27.5,-1.399999976
27.39999962,-1.399999976
27.29999924,-1.399999976
27.20000076,-1.399999976
27.10000038,-1.399999976
27,-1.399999976
26.89999962,-1.399999976
26.79999924,-1.399999976
26.70000076,-1.5
26.5,-1.5
26.39999962,-1.5
26.20000076,-1.600000024
26.10000038,-1.699999988
26,-1.699999988
25.89999962,-1.800000012
25.70000076,-1.800000012
25.60000038,-1.800000012
25.5,-1.800000012
25.39999962,-1.800000012
25.20000076,-1.800000012
25,-1.800000012
24.89999962,-1.800000012
24.79999924,-1.800000012
24.70000076,-1.800000012
24.60000038,-1.800000012
24.5,-1.800000012
24.39999962,-1.800000012
24.29999924,-1.800000012
24.20000076,-1.800000012
24.10000038,-1.800000012
24,-1.800000012
23.89999962,-1.899999976
23.70000076,-2
23.60000038,-2
23.5,-2.099999994
23.39999962,-2.199999988
23.29999924,-2.199999988
23.20000076,-2.199999988
23.10000038,-2.199999988
22.89999962,-2.199999988
22.79999924,-2.199999988
22.70000076,-2.199999988
22.60000038,-2.199999988
22.5,-2.199999988
22.39999962,-2.199999988
22.29999924,-2.199999988
22.20000076,-2.199999988
22.10000038,-2.199999988
22,-2.199999988
21.89999962,-2.199999988
21.70000076,-2.299999997
21.60000038,-2.299999997
21.60000038,-2.399999999
21.5,-2.5
21.39999962,-2.5
21.39999962,-2.600000001
21.29999924,-2.600000001
21.20000076,-2.600000001
21,-2.600000001
20.89999962,-2.600000001
20.79999924,-2.600000001
20.70000076,-2.600000001
20.60000038,-2.600000001
20.5,-2.600000001
20.39999962,-2.600000001
20.29999924,-2.600000001
20.10000038,-2.600000001
20,-2.600000001
19.89999962,-2.700000003
19.70000076,-2.700000003
19.60000038,-2.700000003
19.5,-2.800000012
19.39999962,-2.800000012
19.29999924,-3
19.20000076,-3
19.10000038,-3
18.89999962,-3
18.79999924,-3
18.70000076,-3
18.60000038,-3
18.5,-3
18.39999962,-3
18.29999924,-3
18.10000038,-3.100000024
18,-3.100000024
17.89999962,-3.100000024
17.70000076,-3.100000024
17.60000038,-3.199999988
17.60000038,-3.300000012
17.5,-3.399999976
17.39999962,-3.399999976
17.29999924,-3.399999976
17.20000076,-3.399999976
17.10000038,-3.399999976
17,-3.399999976
16.89999962,-3.399999976
16.79999924,-3.399999976
16.70000076,-3.399999976
16.60000038,-3.399999976
16.5,-3.399999976
16.39999962,-3.399999976
16.29999924,-3.399999976
16.20000076,-3.399999976
16.10000038,-3.399999976
15.89999962,-3.600000024
15.80000019,-3.700000048
15.69999981,-3.700000048
15.60000038,-3.799999952
15.39999962,-3.799999952
15.30000019,-3.799999952
15.19999981,-3.799999952
15.10000038,-3.799999952
15,-3.799999952
14.89999962,-3.799999952
14.80000019,-3.799999952
14.69999981,-3.799999952
14.60000038,-3.799999952
14.39999962,-3.799999952
14.30000019,-3.799999952
14.19999981,-3.799999952
14.10000038,-3.899999976
14,-3.899999976
13.89999962,-4
13.80000019,-4
13.69999981,-4.100000024
13.60000038,-4.100000024
13.5,-4.200000048
13.39999962,-4.200000048
